advertiser_id,platform,location_at,latitude,longitude,altitude,horizontal_accuracy,vertical_accuracy,speed,publisher_id,model,day
23,1,1581128844,40.763606,-73.979611,25.8,65,0,-1,4,16,1
29,0,1581982692,40.7295904,-73.976893,-15.39999962,15.8,2.8999996,0,7,2,10
46,0,1582224329,40.777012,-73.9633512,0,16.7,0,0,4,1,13
4,0,1581339516,40.7669955,-73.983991,77.5,17.7,5.0999985,0,5,4,3
6,1,1581173991,40.739443,-73.98827,12.5,25,0,2.470000029,4,16,1
27,0,1582088358,40.804166,-73.9682873,0,32.4,-1,0,7,8,12
33,1,1581668825,40.786914,-73.943513,6.8,65,0,-1,4,14,7
9,1,1581940573,40.766665,-73.980366,29.6,65,0,-1,4,20,10
23,1,1581988677,40.777154,-73.975112,27.5,65,0,-1,4,16,11
28,0,1581865469,40.7121737,-73.9872753,-5.700000286,15.5,-1,0,0,6,9
36,1,1581730060,40.709966,-73.997595,6.4,65,0,-1,4,21,8
43,1,1582097268,40.75291887,-73.97489281,22.94000053,65,0,-1,4,16,12
24,1,1581480967,40.829213,-73.946123,37.3,65,0,-1,4,23,5
15,1,1581459451,40.848539,-73.937502,24.7,65,0,-1,4,26,4
0,1,1581631068,40.71622,-74.004607,12.7,65,0,-1,4,18,6
48,1,1581790397,40.769145,-73.951592,12,24.6,0,-1,4,23,8
36,1,1582242704,40.710043,-73.997596,6.5,65,0,-1,4,21,13
45,0,1581895158,40.7972953,-73.9486798,56.5,15.5,0,0,4,9,9
8,0,1581621181,40.7706416,-73.9546086,-22.29999924,16,-1,0.06664893,0,5,6
42,0,1581883775,40.7323764,-74.0008118,-29.10000038,15.9,-1,0,0,7,9
48,1,1582070602,40.769152,-73.951578,11.7,65,0,-1,4,23,12
46,0,1581431653,40.7878217,-73.9452842,0,28.9,0,0,4,1,4
25,1,1581545321,40.774796,-73.963109,22.6,65,0,-1,4,16,5
8,0,1581979048,40.7705594,-73.9545841,-21.29999924,15.3,-1,0,0,5,10
18,0,1581223634,40.7626606,-73.9492658,-10.19999981,17.5,0,0,4,10,2
7,1,1582300474,40.786331,-73.940339,5.8,65,0,-1,1,16,14
30,1,1581522757,40.836206,-73.940278,50.5,14.4,0,7.016346146,4,24,5
29,0,1581224873,40.7408945,-73.9893885,-27.89999962,15.4,2,0,3,2,2
35,1,1581684640,40.75241,-74.003017,8.7,65,0,-1,4,21,7
46,0,1582147596,40.7785042,-73.959715,-6.700000286,17.9,0,0,4,1,12
4,0,1581737101,40.7668391,-73.9840922,0,24.1,-1,0,5,4,8
28,0,1582013062,40.7121684,-73.9872921,-5.599999905,15.4,-1,0,0,6,11
2,1,1581220791,40.816399,-73.93846,8.2,65,0,-1,4,14,2
27,0,1581944848,40.8040756,-73.9681457,0,38.6,-1,0,7,8,10
31,0,1581268195,40.8240287,-73.9382177,-20.39999962,15,0,0.017401868,4,11,2
15,1,1581724887,40.836459,-73.943895,42,20,0,-1,4,26,8
15,1,1581951979,40.836395,-73.943908,40.8,65,0,-1,4,26,10
0,1,1581233504,40.715953,-73.99318,13.4,20,0,-1,4,18,2
36,1,1581125669,40.710739,-73.997055,3.9,1000,0,-1,4,21,1
1,1,1581333016,40.807787,-73.959379,43.5,65,0,-1,4,22,3
25,1,1581794680,40.785859,-73.978492,23.6,20,0,-1,4,16,8
17,1,1582032706,40.777491,-73.948949,16.4,23.1,0,-1,4,21,11
35,1,1581893903,40.752901,-74.003051,7.9,65,0,-1,4,21,9
12,1,1581222028,40.710114,-73.995546,6.7,65,0,-1,4,15,2
37,0,1581245752,40.7320399,-74.0036562,-27,10.5,0,9.577659,4,8,2
27,0,1581402645,40.804055,-73.9682337,0,17.2,-1,0,7,8,4
28,0,1581357091,40.7120789,-73.9871087,-5.599999905,36.8,-1,0,0,6,3
28,0,1581856662,40.7121861,-73.9873037,-5.599999905,15.4,-1,0,0,6,9
21,1,1581444052,40.74689,-73.980573,22.1,65,0,-1,2,20,4
33,1,1581401175,40.786923,-73.94355,7,20,0,-1,4,14,4
29,0,1582203214,40.7294562,-73.9768607,-15.69999886,16.5,2,0,3,2,13
34,0,1581952036,40.7959483,-73.9295381,-26.50631714,12.4,0,18.067644,4,3,10
21,1,1582161229,40.755591,-73.974406,14.3,48,0,-1,2,20,13
2,1,1582082828,40.807821,-73.94124,7.7,30,0,11.27999973,4,14,12
15,1,1581773965,40.836461,-73.94399,39,65,0,-1,4,26,8
37,0,1582196250,40.7550024,-73.9865403,-15.60000038,27,0,0.25281483,4,8,13
